      Time timeStamp  senderId    seqNum   msgSize
     0.785     0.783         1        83        64
     8.188     8.187         1       819        64
     9.282     9.281         1       920        64
    16.064    16.063         1      1591        64
    16.067    16.066         1      1592        64
    16.589    16.588         1      1644        64
    19.993    19.991         1      2006        64
    24.402    24.400         1      2491        64
    26.466    26.465         1      2701        64
    62.970    62.969         1      6403        64
    63.636    63.634         1      6472        64
    66.012    66.006         1      6692        64
   101.890   101.889         1     10356        64
   110.464   110.462         1     11203        64
   123.030   123.029         1     12408        64
   132.583   132.581         1     13396        64
   132.667   132.666         1     13406        64
   135.442   135.441         1     13686        64
   172.787   172.786         1     17326        64
   177.753   177.751         1     17845        64
   182.671   182.670         1     18342        64
   184.079   184.078         1     18475        64
   191.577   191.576         1     19239        64
   192.765   192.758         1     19378        64
   193.796   193.795         1     19476        64
   196.608   196.606         1     19782        64
   197.652   197.649         1     19890        64
   202.071   202.070         1     20370        64
   207.808   207.807         1     20940        64
   208.932   208.931         1     21055        64
   209.196   209.195         1     21074        64
   215.939   215.938         1     21755        64
   216.395   216.394         1     21802        64
   216.734   216.733         1     21851        64
   218.879   218.878         1     22068        64
   222.451   222.444         1     22419        64
   233.980   233.979         1     23556        64
   236.459   236.458         1     23820        64
   240.361   240.360         1     24206        64
   245.663   245.662         1     24760        64
   245.684   245.677         1     24762        64
   260.854   260.853         1     26255        64
   263.725   263.724         1     26557        64
   280.739   280.736         1     28202        64
   282.072   282.071         1     28345        64
   284.268   284.263         1     28555        64
   288.489   288.488         1     28936        64
   290.068   290.067         1     29097        64
   293.515   293.514         1     29432        64
   294.771   294.770         1     29548        64
   296.884   296.883         1     29771        64
   299.895   299.894         1     30101        64
   313.061   313.060         1     31475        64
   314.870   314.869         1     31654        64
   320.428   320.427         1     32200        64
   346.982   346.981         1     34906        64
   358.192   358.188         1     35981        64
   363.499   363.498         1     36494        64
   364.541   364.540         1     36612        64
   378.198   378.197         1     38000        64
   378.225   378.220         1     38004        64
   403.589   403.588         1     40551        64
   405.599   405.598         1     40745        64
   413.213   413.212         1     41529        64
   413.324   413.323         1     41539        64
   419.342   419.341         1     42150        64
   420.084   420.083         1     42215        64
   425.355   425.354         1     42759        64
   432.629   432.628         1     43486        64
   439.553   439.552         1     44151        64
   441.422   441.421         1     44335        64
   468.306   468.297         1     47022        64
   471.410   471.407         1     47320        64
   471.565   471.564         1     47338        64
   476.863   476.862         1     47854        64
   481.121   481.116         1     48290        64
   485.181   485.180         1     48682        64
   488.692   488.691         1     49036        64
   494.702   494.701         1     49625        64
   495.578   495.576         1     49703        64
   496.396   496.395         1     49771        64
   498.154   498.153         1     49947        64
   499.957   499.950         1     50130        64
   500.614   500.610         1     50183        64
   503.626   503.625         1     50505        64
   503.842   503.841         1     50522        64
   510.433   510.432         1     51193        64
   515.174   515.173         1     51681        64
   518.695   518.694         1     52077        64
   522.070   522.069         1     52424        64
   526.676   526.675         1     52893        64
   561.764   561.758         1     56339        64
   583.728   583.727         1     58484        64
   596.761   596.760         1     59798        64
   600.186   600.185         1     60153        64
   604.292   604.291         1     60571        64
   616.076   616.075         1     61753        64
   619.965   619.964         1     62154        64
   620.344   620.343         1     62198        64
   626.601   626.600         1     62791        64
   628.968   628.967         1     63031        64
   629.827   629.824         1     63125        64
   631.164   631.163         1     63275        64
   632.834   632.832         1     63423        64
   637.659   637.658         1     63891        64
   639.498   639.493         1     64075        64
   642.891   642.890         1     64407        64
   647.140   647.138         1     64804        64
   650.343   650.342         1     65136        64
   659.261   659.258         1     66050        64
   665.380   665.379         1     66716        64
   665.794   665.793         1     66756        64
   673.600   673.599         1     67547        64
   683.808   683.806         1     68571        64
   691.541   691.539         1     69313        64
   697.311   697.310         1     69866        64
   697.611   697.610         1     69890        64
   703.518   703.517         1     70489        64
   714.112   714.111         1     71564        64
   715.578   715.577         1     71693        64
   724.773   724.769         1     72577        64
   747.750   747.746         1     74842        64
   750.085   750.081         1     75056        64
   751.403   751.402         1     75198        64
   765.609   765.608         1     76615        64
   767.328   767.327         1     76774        64
   784.633   784.632         1     78496        64
   786.115   786.114         1     78635        64
   796.147   796.146         1     79636        64
   803.616   803.601         1     80324        64
   810.491   810.490         1     80991        64
   813.107   813.106         1     81270        64
   815.047   815.046         1     81478        64
   817.015   817.014         1     81682        64
   826.188   826.187         1     82621        64
   830.874   830.873         1     83071        64
   831.053   831.052         1     83085        64
   843.675   843.674         1     84285        64
   854.776   854.775         1     85430        64
   867.728   867.726         1     86735        64
   894.194   894.193         1     89390        64
   896.192   896.191         1     89576        64
   901.502   901.501         1     90126        64
   908.332   908.331         1     90807        64
   926.776   926.775         1     92665        64
   941.793   941.792         1     94198        64
   946.147   946.141         1     94637        64
   951.547   951.546         1     95161        64
   963.435   963.434         1     96380        64
   969.426   969.425         1     96936        64
   969.449   969.448         1     96939        64
   981.676   981.675         1     98117        64
   985.772   985.770         1     98524        64
   988.502   988.501         1     98792        64
   992.176   992.171         1     99152        64


Total Packet Received:        155
