      Time timeStamp  senderId    seqNum   msgSize
     0.009     0.008         1         0        64
     0.018     0.017         1         1        64
     0.056     0.055         1         4        64
     0.093     0.092         1         6        64
     0.100     0.099         1         7        64
     0.107     0.106         1         8        64
     0.119     0.116         1        11        64
     0.149     0.147         1        12        64
     0.165     0.163         1        13        64
     0.172     0.171         1        14        64
     0.176     0.172         1        15        64
     0.196     0.195         1        18        64
     0.211     0.209         1        19        64
     0.216     0.212         1        21        64
     0.219     0.216         1        22        64
     0.222     0.221         1        23        64
     0.245     0.244         1        24        64
     0.299     0.298         1        28        64
     0.305     0.304         1        30        64
     0.350     0.349         1        36        64
     0.355     0.354         1        37        64
     0.358     0.354         1        38        64
     0.392     0.391         1        40        64
     0.398     0.397         1        41        64
     0.400     0.397         1        42        64
     0.416     0.415         1        44        64
     0.421     0.420         1        45        64
     0.424     0.422         1        46        64
     0.432     0.431         1        47        64
     0.484     0.483         1        51        64
     0.500     0.498         1        53        64
     0.508     0.507         1        54        64
     0.514     0.509         1        56        64
     0.522     0.520         1        57        64
     0.524     0.523         1        58        64
     0.530     0.528         1        59        64
     0.538     0.537         1        60        64
     0.560     0.559         1        61        64
     0.566     0.565         1        62        64
     0.605     0.603         1        63        64
     0.635     0.634         1        66        64
     0.638     0.637         1        67        64
     0.650     0.649         1        68        64
     0.697     0.696         1        71        64
     0.724     0.723         1        74        64
     0.729     0.728         1        75        64
     0.734     0.733         1        76        64
     0.738     0.734         1        77        64
     0.740     0.738         1        78        64
     0.770     0.769         1        80        64
     0.776     0.770         1        81        64
     0.785     0.783         1        83        64
     0.791     0.790         1        84        64
     0.796     0.792         1        86        64
     0.821     0.818         1        90        64
     0.856     0.850         1        93        64
     0.870     0.869         1        94        64
     0.880     0.878         1        97        64
     0.883     0.882         1        98        64
     0.960     0.959         1       103        64
     0.971     0.970         1       104        64
     1.021     1.020         1       108        64
     1.050     1.049         1       109        64
     1.056     1.055         1       110        64
     1.059     1.057         1       111        64
     1.072     1.071         1       114        64
     1.076     1.072         1       115        64
     1.086     1.085         1       116        64
     1.115     1.114         1       118        64
     1.142     1.141         1       121        64
     1.147     1.146         1       122        64
     1.164     1.163         1       125        64
     1.180     1.179         1       126        64
     1.192     1.191         1       127        64
     1.203     1.202         1       128        64
     1.219     1.218         1       129        64
     1.236     1.235         1       131        64
     1.255     1.254         1       133        64
     1.261     1.260         1       134        64
     1.275     1.274         1       136        64
     1.291     1.290         1       137        64
     1.293     1.291         1       138        64
     1.296     1.294         1       139        64
     1.322     1.319         1       142        64
     1.327     1.321         1       143        64
     1.338     1.335         1       145        64
     1.395     1.394         1       148        64
     1.415     1.414         1       151        64
     1.422     1.421         1       152        64
     1.469     1.468         1       154        64
     1.502     1.501         1       155        64
     1.523     1.522         1       156        64
     1.551     1.550         1       157        64
     1.558     1.557         1       158        64
     1.579     1.578         1       159        64
     1.597     1.596         1       160        64
     1.643     1.642         1       162        64
     1.647     1.644         1       163        64
     1.715     1.714         1       167        64
     1.720     1.719         1       168        64
     1.722     1.721         1       169        64
     1.764     1.762         1       171        64
     1.799     1.798         1       174        64
     1.834     1.830         1       177        64
     1.862     1.860         1       178        64
     1.869     1.865         1       180        64
     1.877     1.876         1       181        64
     1.911     1.910         1       184        64
     1.914     1.910         1       185        64
     1.918     1.917         1       186        64
     1.924     1.923         1       187        64
     1.960     1.959         1       190        64
     1.971     1.970         1       191        64
     2.002     2.001         1       194        64
     2.004     2.001         1       195        64
     2.007     2.004         1       196        64
     2.020     2.019         1       197        64
     2.023     2.020         1       198        64
     2.066     2.065         1       201        64
     2.072     2.071         1       202        64
     2.096     2.088         1       207        64
     2.098     2.097         1       208        64
     2.149     2.148         1       211        64
     2.155     2.154         1       212        64
     2.170     2.168         1       215        64
     2.172     2.171         1       216        64
     2.181     2.180         1       217        64
     2.189     2.188         1       218        64
     2.220     2.219         1       219        64
     2.240     2.238         1       220        64
     2.263     2.262         1       221        64
     2.269     2.265         1       223        64
     2.271     2.266         1       224        64
     2.284     2.283         1       227        64
     2.355     2.354         1       233        64
     2.382     2.378         1       238        64
     2.394     2.393         1       240        64
     2.412     2.411         1       241        64
     2.423     2.422         1       243        64
     2.439     2.438         1       244        64
     2.442     2.438         1       245        64
     2.445     2.441         1       246        64
     2.453     2.452         1       247        64
     2.470     2.469         1       249        64
     2.474     2.473         1       250        64
     2.479     2.478         1       251        64
     2.493     2.492         1       253        64
     2.498     2.496         1       254        64
     2.521     2.520         1       255        64
     2.524     2.521         1       256        64
     2.580     2.579         1       262        64
     2.584     2.583         1       263        64
     2.587     2.586         1       264        64
     2.594     2.593         1       265        64
     2.602     2.601         1       267        64
     2.609     2.608         1       268        64
     2.611     2.610         1       269        64
     2.631     2.630         1       270        64
     2.648     2.646         1       272        64
     2.655     2.654         1       274        64
     2.670     2.666         1       278        64
     2.699     2.698         1       279        64
     2.723     2.722         1       281        64
     2.731     2.730         1       282        64
     2.740     2.739         1       284        64
     2.765     2.764         1       286        64
     2.788     2.787         1       287        64
     2.802     2.801         1       288        64
     2.849     2.848         1       291        64
     2.875     2.874         1       294        64
     2.883     2.882         1       295        64
     2.907     2.906         1       297        64
     2.918     2.917         1       298        64
     2.921     2.920         1       299        64
     2.924     2.923         1       300        64
     2.938     2.933         1       302        64
     3.005     3.001         1       309        64
     3.013     3.012         1       311        64
     3.023     3.022         1       312        64
     3.059     3.058         1       313        64
     3.092     3.091         1       314        64
     3.103     3.102         1       315        64
     3.130     3.129         1       317        64
     3.146     3.145         1       318        64
     3.177     3.176         1       321        64
     3.180     3.179         1       322        64
     3.188     3.187         1       323        64
     3.214     3.212         1       325        64
     3.253     3.252         1       326        64
     3.263     3.262         1       327        64
     3.288     3.287         1       328        64
     3.291     3.288         1       329        64
     3.343     3.337         1       333        64
     3.382     3.381         1       338        64
     3.415     3.414         1       340        64
     3.418     3.415         1       341        64
     3.423     3.422         1       342        64
     3.494     3.493         1       345        64
     3.564     3.563         1       352        64
     3.573     3.571         1       354        64
     3.579     3.578         1       355        64
     3.587     3.585         1       357        64
     3.596     3.595         1       358        64
     3.661     3.659         1       361        64
     3.673     3.672         1       362        64
     3.684     3.683         1       363        64
     3.722     3.721         1       364        64
     3.770     3.767         1       368        64
     3.773     3.772         1       369        64
     3.809     3.808         1       371        64
     3.818     3.817         1       372        64
     3.846     3.845         1       373        64
     3.901     3.900         1       376        64
     3.915     3.914         1       377        64
     3.926     3.925         1       378        64
     3.928     3.925         1       379        64
     3.931     3.927         1       381        64
     3.934     3.930         1       382        64
     3.937     3.936         1       383        64
     3.997     3.996         1       386        64
     3.999     3.996         1       387        64
     4.014     4.013         1       389        64
     4.018     4.017         1       390        64
     4.023     4.018         1       391        64
     4.086     4.084         1       397        64
     4.093     4.092         1       398        64
     4.112     4.104         1       400        64
     4.138     4.136         1       401        64
     4.145     4.136         1       402        64
     4.153     4.152         1       404        64
     4.188     4.184         1       410        64
     4.191     4.187         1       411        64
     4.194     4.191         1       412        64
     4.205     4.204         1       416        64
     4.237     4.236         1       418        64
     4.262     4.261         1       419        64
     4.277     4.276         1       421        64
     4.282     4.280         1       422        64
     4.294     4.293         1       424        64
     4.307     4.306         1       426        64
     4.326     4.325         1       429        64
     4.337     4.336         1       430        64
     4.350     4.349         1       431        64
     4.354     4.353         1       432        64
     4.357     4.356         1       433        64
     4.363     4.362         1       434        64
     4.370     4.369         1       435        64
     4.392     4.388         1       438        64
     4.394     4.390         1       439        64
     4.402     4.401         1       440        64
     4.410     4.409         1       441        64
     4.478     4.477         1       444        64
     4.490     4.489         1       445        64
     4.508     4.506         1       447        64
     4.533     4.532         1       448        64
     4.547     4.545         1       450        64
     4.554     4.553         1       451        64
     4.577     4.576         1       455        64
     4.586     4.584         1       456        64
     4.589     4.588         1       457        64
     4.600     4.598         1       459        64
     4.626     4.625         1       460        64
     4.629     4.628         1       461        64
     4.632     4.628         1       462        64
     4.636     4.628         1       463        64
     4.656     4.655         1       464        64
     4.680     4.678         1       466        64
     4.708     4.707         1       471        64
     4.722     4.721         1       472        64
     4.740     4.734         1       475        64
     4.743     4.737         1       476        64
     4.757     4.756         1       477        64
     4.768     4.767         1       478        64
     4.804     4.803         1       483        64
     4.807     4.804         1       484        64
     4.813     4.812         1       485        64
     4.841     4.840         1       487        64
     4.853     4.852         1       488        64
     4.895     4.894         1       490        64
     4.910     4.906         1       492        64
     4.922     4.920         1       494        64
     4.949     4.948         1       495        64
     4.952     4.951         1       496        64
     4.963     4.961         1       498        64
     4.983     4.982         1       499        64
     4.998     4.996         1       500        64
     5.001     4.999         1       501        64
     5.008     5.007         1       502        64
     5.016     5.015         1       504        64
     5.037     5.034         1       507        64
     5.044     5.043         1       508        64
     5.060     5.059         1       509        64
     5.071     5.070         1       510        64
     5.084     5.083         1       511        64
     5.150     5.148         1       513        64
     5.162     5.161         1       515        64
     5.165     5.162         1       516        64
     5.173     5.172         1       518        64
     5.206     5.204         1       522        64
     5.222     5.221         1       524        64
     5.246     5.244         1       525        64
     5.252     5.251         1       526        64
     5.258     5.257         1       528        64
     5.271     5.270         1       530        64
     5.282     5.281         1       531        64
     5.313     5.312         1       533        64
     5.336     5.335         1       535        64
     5.382     5.381         1       538        64
     5.386     5.385         1       539        64
     5.452     5.451         1       545        64
     5.455     5.454         1       546        64
     5.460     5.459         1       547        64
     5.471     5.470         1       549        64
     5.526     5.525         1       552        64
     5.536     5.534         1       554        64
     5.542     5.541         1       555        64
     5.556     5.555         1       556        64
     5.578     5.577         1       557        64
     5.583     5.579         1       559        64
     5.587     5.586         1       560        64
     5.593     5.592         1       561        64
     5.599     5.596         1       563        64
     5.625     5.624         1       564        64
     5.711     5.710         1       565        64
     5.717     5.716         1       566        64
     5.721     5.720         1       567        64
     5.762     5.761         1       569        64
     5.766     5.762         1       570        64
     5.778     5.777         1       572        64
     5.800     5.799         1       576        64
     5.832     5.831         1       578        64
     5.861     5.860         1       580        64
     5.898     5.897         1       582        64
     5.937     5.934         1       586        64
     5.940     5.936         1       587        64
     5.948     5.947         1       590        64
     5.951     5.950         1       591        64
     5.954     5.953         1       592        64
     6.002     6.001         1       594        64
     6.028     6.027         1       595        64
     6.035     6.034         1       596        64
     6.042     6.038         1       598        64
     6.047     6.041         1       599        64
     6.056     6.055         1       601        64
     6.059     6.058         1       602        64
     6.080     6.079         1       603        64
     6.097     6.096         1       607        64
     6.110     6.109         1       609        64
     6.114     6.113         1       611        64
     6.128     6.127         1       613        64
     6.154     6.153         1       614        64
     6.180     6.179         1       617        64
     6.188     6.187         1       618        64
     6.200     6.199         1       621        64
     6.227     6.226         1       623        64
     6.262     6.250         1       625        64
     6.265     6.264         1       626        64
     6.290     6.289         1       629        64
     6.325     6.323         1       630        64
     6.336     6.335         1       631        64
     6.352     6.340         1       633        64
     6.378     6.377         1       635        64
     6.382     6.381         1       636        64
     6.394     6.393         1       638        64
     6.401     6.399         1       640        64
     6.421     6.420         1       641        64
     6.472     6.470         1       643        64
     6.495     6.494         1       647        64
     6.511     6.507         1       650        64
     6.513     6.510         1       651        64
     6.592     6.591         1       653        64
     6.656     6.655         1       657        64
     6.682     6.681         1       659        64
     6.698     6.696         1       664        64
     6.700     6.699         1       665        64
     6.740     6.739         1       669        64
     6.771     6.770         1       671        64
     6.799     6.798         1       674        64
     6.809     6.808         1       676        64
     6.825     6.823         1       679        64
     6.831     6.830         1       680        64
     6.845     6.843         1       681        64
     6.866     6.865         1       683        64
     6.895     6.894         1       684        64
     6.908     6.907         1       685        64
     6.957     6.956         1       687        64
     6.959     6.958         1       688        64
     6.978     6.977         1       689        64
     6.989     6.988         1       690        64
     7.001     7.000         1       691        64
     7.034     7.033         1       694        64
     7.045     7.043         1       695        64
     7.076     7.075         1       698        64
     7.090     7.089         1       699        64
     7.112     7.111         1       700        64
     7.121     7.120         1       701        64
     7.126     7.124         1       702        64
     7.143     7.137         1       704        64
     7.149     7.148         1       705        64
     7.151     7.148         1       707        64
     7.155     7.149         1       708        64
     7.220     7.219         1       711        64
     7.248     7.246         1       712        64
     7.265     7.264         1       714        64
     7.286     7.285         1       715        64
     7.318     7.313         1       721        64
     7.320     7.318         1       722        64
     7.364     7.363         1       725        64
     7.394     7.392         1       726        64
     7.399     7.398         1       727        64
     7.412     7.411         1       728        64
     7.418     7.413         1       729        64
     7.438     7.437         1       730        64
     7.444     7.443         1       732        64
     7.493     7.492         1       733        64
     7.502     7.501         1       734        64
     7.513     7.511         1       735        64
     7.532     7.531         1       736        64
     7.535     7.534         1       737        64
     7.586     7.584         1       740        64
     7.589     7.587         1       741        64
     7.606     7.603         1       743        64
     7.642     7.638         1       749        64
     7.649     7.643         1       750        64
     7.652     7.648         1       752        64
     7.661     7.660         1       753        64
     7.668     7.664         1       755        64
     7.670     7.669         1       756        64
     7.701     7.700         1       758        64
     7.725     7.722         1       760        64
     7.736     7.734         1       761        64
     7.751     7.750         1       763        64
     7.765     7.764         1       764        64
     7.780     7.779         1       765        64
     7.791     7.787         1       767        64
     7.805     7.804         1       771        64
     7.811     7.810         1       773        64
     7.818     7.817         1       774        64
     7.835     7.834         1       777        64
     7.838     7.835         1       778        64
     7.880     7.877         1       782        64
     7.883     7.880         1       783        64
     7.897     7.896         1       786        64
     7.903     7.897         1       787        64
     7.911     7.910         1       788        64
     7.923     7.922         1       789        64
     7.931     7.930         1       790        64
     7.951     7.950         1       791        64
     7.954     7.953         1       792        64
     7.969     7.968         1       793        64
     7.978     7.977         1       794        64
     7.984     7.983         1       795        64
     7.998     7.997         1       797        64
     8.043     8.041         1       800        64
     8.048     8.047         1       801        64
     8.054     8.053         1       802        64
     8.060     8.059         1       803        64
     8.079     8.077         1       805        64
     8.088     8.082         1       807        64
     8.091     8.090         1       808        64
     8.111     8.110         1       810        64
     8.127     8.126         1       812        64
     8.132     8.131         1       813        64
     8.137     8.131         1       814        64
     8.143     8.139         1       816        64
     8.188     8.187         1       819        64
     8.209     8.208         1       821        64
     8.223     8.222         1       823        64
     8.226     8.224         1       824        64
     8.258     8.257         1       826        64
     8.286     8.284         1       829        64
     8.289     8.288         1       830        64
     8.295     8.294         1       831        64
     8.301     8.300         1       832        64
     8.304     8.303         1       833        64
     8.334     8.329         1       838        64
     8.337     8.336         1       839        64
     8.352     8.351         1       840        64
     8.390     8.388         1       843        64
     8.399     8.398         1       844        64
     8.456     8.455         1       846        64
     8.483     8.482         1       848        64
     8.530     8.529         1       851        64
     8.532     8.531         1       852        64
     8.546     8.545         1       853        64
     8.558     8.557         1       857        64
     8.570     8.569         1       858        64
     8.575     8.570         1       859        64
     8.579     8.578         1       860        64
     8.583     8.582         1       861        64
     8.629     8.627         1       863        64
     8.633     8.632         1       864        64
     8.681     8.680         1       866        64
     8.708     8.707         1       869        64
     8.711     8.710         1       870        64
     8.718     8.717         1       872        64
     8.764     8.763         1       874        64
     8.780     8.779         1       875        64
     8.852     8.851         1       877        64
     8.854     8.853         1       878        64
     8.887     8.886         1       880        64
     8.906     8.905         1       882        64
     8.925     8.924         1       883        64
     8.936     8.935         1       884        64
     8.970     8.969         1       887        64
     8.979     8.977         1       888        64
     8.993     8.991         1       889        64
     8.995     8.992         1       890        64
     9.004     9.001         1       893        64
     9.037     9.036         1       897        64
     9.057     9.055         1       898        64
     9.064     9.060         1       900        64
     9.073     9.072         1       901        64
     9.076     9.075         1       902        64
     9.078     9.075         1       903        64
     9.115     9.114         1       904        64
     9.126     9.125         1       905        64
     9.129     9.126         1       906        64
     9.138     9.136         1       908        64
     9.142     9.141         1       909        64
     9.180     9.174         1       913        64
     9.183     9.182         1       914        64
     9.198     9.197         1       915        64
     9.213     9.212         1       916        64
     9.257     9.255         1       918        64
     9.282     9.281         1       920        64
     9.369     9.356         1       929        64
     9.386     9.385         1       930        64
     9.397     9.396         1       932        64
     9.407     9.406         1       933        64
     9.472     9.471         1       940        64
     9.491     9.490         1       941        64
     9.501     9.500         1       942        64
     9.503     9.502         1       943        64
     9.549     9.547         1       944        64
     9.571     9.570         1       946        64
     9.580     9.579         1       947        64
     9.593     9.592         1       950        64
     9.624     9.623         1       951        64
     9.640     9.639         1       952        64
     9.643     9.639         1       953        64
     9.646     9.645         1       954        64
     9.663     9.662         1       956        64
     9.685     9.684         1       958        64
     9.701     9.699         1       960        64
     9.742     9.741         1       962        64
     9.745     9.744         1       963        64
     9.765     9.764         1       964        64
     9.770     9.769         1       965        64
     9.782     9.779         1       967        64
     9.791     9.788         1       969        64
     9.810     9.809         1       971        64
     9.836     9.835         1       972        64
     9.843     9.842         1       973        64
     9.846     9.845         1       974        64
     9.848     9.845         1       975        64
     9.855     9.851         1       978        64
     9.872     9.871         1       982        64
     9.876     9.872         1       983        64
     9.902     9.901         1       985        64
     9.916     9.912         1       988        64
     9.936     9.935         1       990        64
     9.965     9.964         1       994        64
     9.974     9.973         1       995        64
     9.982     9.974         1       997        64
    10.018    10.017         1      1003        64
    10.073    10.072         1      1005        64
    10.099    10.098         1      1008        64
    10.101    10.100         1      1009        64
    10.105    10.102         1      1010        64
    10.123    10.121         1      1013        64
    10.150    10.149         1      1015        64
    10.166    10.165         1      1016        64
    10.175    10.171         1      1018        64
    10.181    10.174         1      1019        64
    10.211    10.210         1      1020        64
    10.218    10.217         1      1021        64
    10.228    10.227         1      1022        64
    10.241    10.239         1      1025        64
    10.245    10.244         1      1026        64
    10.250    10.249         1      1027        64
    10.265    10.264         1      1028        64
    10.289    10.288         1      1029        64
    10.332    10.331         1      1031        64
    10.335    10.333         1      1032        64
    10.340    10.336         1      1034        64
    10.355    10.354         1      1035        64
    10.379    10.378         1      1036        64
    10.399    10.398         1      1037        64
    10.417    10.416         1      1038        64
    10.420    10.419         1      1039        64
    10.433    10.432         1      1041        64
    10.437    10.432         1      1042        64
    10.448    10.447         1      1043        64
    10.469    10.468         1      1044        64
    10.541    10.540         1      1046        64
    10.579    10.578         1      1047        64
    10.625    10.624         1      1049        64
    10.634    10.633         1      1050        64
    10.638    10.636         1      1051        64
    10.642    10.641         1      1052        64
    10.658    10.657         1      1054        64
    10.670    10.669         1      1056        64
    10.677    10.676         1      1057        64
