      Time timeStamp  senderId    seqNum   msgSize
     0.009     0.008         1         0        64
     0.018     0.017         1         1        64
     0.056     0.055         1         4        64
     0.093     0.092         1         6        64
     0.107     0.106         1         8        64
     0.119     0.116         1        11        64
     0.149     0.147         1        12        64
     0.165     0.163         1        13        64
     0.172     0.171         1        14        64
     0.176     0.172         1        15        64
     0.196     0.195         1        18        64
     0.216     0.212         1        21        64
     0.222     0.221         1        23        64
     0.245     0.244         1        24        64
     0.299     0.298         1        28        64
     0.305     0.304         1        30        64
     0.350     0.349         1        36        64
     0.355     0.354         1        37        64
     0.392     0.391         1        40        64
     0.398     0.397         1        41        64
     0.416     0.415         1        44        64
     0.421     0.420         1        45        64
     0.424     0.422         1        46        64
     0.484     0.483         1        51        64
     0.508     0.507         1        54        64
     0.514     0.509         1        56        64
     0.522     0.520         1        57        64
     0.538     0.537         1        60        64
     0.566     0.565         1        62        64
     0.605     0.603         1        63        64
     0.635     0.634         1        66        64
     0.729     0.728         1        75        64
     0.738     0.734         1        77        64
     0.770     0.769         1        80        64
     0.785     0.783         1        83        64
     0.791     0.790         1        84        64
     0.796     0.792         1        86        64
     0.821     0.818         1        90        64
     0.856     0.850         1        93        64
     0.880     0.878         1        97        64
     0.971     0.970         1       104        64
     1.056     1.055         1       110        64
     1.086     1.085         1       116        64
     1.115     1.114         1       118        64
     1.147     1.146         1       122        64
     1.164     1.163         1       125        64
     1.180     1.179         1       126        64
     1.203     1.202         1       128        64
     1.219     1.218         1       129        64
     1.255     1.254         1       133        64
     1.275     1.274         1       136        64
     1.291     1.290         1       137        64
     1.293     1.291         1       138        64
     1.322     1.319         1       142        64
     1.327     1.321         1       143        64
     1.395     1.394         1       148        64
     1.422     1.421         1       152        64
     1.502     1.501         1       155        64
     1.523     1.522         1       156        64
     1.579     1.578         1       159        64
     1.597     1.596         1       160        64
     1.643     1.642         1       162        64
     1.647     1.644         1       163        64
     1.720     1.719         1       168        64
     1.722     1.721         1       169        64
     1.764     1.762         1       171        64
     1.799     1.798         1       174        64
     1.834     1.830         1       177        64
     1.862     1.860         1       178        64
     1.869     1.865         1       180        64
     1.877     1.876         1       181        64
     1.918     1.917         1       186        64
     1.960     1.959         1       190        64
     1.971     1.970         1       191        64
     2.002     2.001         1       194        64
     2.004     2.001         1       195        64
     2.007     2.004         1       196        64
     2.020     2.019         1       197        64
     2.096     2.088         1       207        64
     2.098     2.097         1       208        64
     2.149     2.148         1       211        64
     2.155     2.154         1       212        64
     2.172     2.171         1       216        64
     2.220     2.219         1       219        64
     2.240     2.238         1       220        64
     2.269     2.265         1       223        64
     2.271     2.266         1       224        64
     2.355     2.354         1       233        64
     2.382     2.378         1       238        64
     2.423     2.422         1       243        64
     2.439     2.438         1       244        64
     2.453     2.452         1       247        64
     2.470     2.469         1       249        64
     2.474     2.473         1       250        64
     2.493     2.492         1       253        64
     2.498     2.496         1       254        64
     2.521     2.520         1       255        64
     2.580     2.579         1       262        64
     2.584     2.583         1       263        64
     2.594     2.593         1       265        64
     2.631     2.630         1       270        64
     2.648     2.646         1       272        64
     2.655     2.654         1       274        64
     2.670     2.666         1       278        64
     2.723     2.722         1       281        64
     2.802     2.801         1       288        64
     2.849     2.848         1       291        64
     2.883     2.882         1       295        64
     2.921     2.920         1       299        64
     2.924     2.923         1       300        64
     3.005     3.001         1       309        64
     3.059     3.058         1       313        64
     3.092     3.091         1       314        64
     3.103     3.102         1       315        64
     3.130     3.129         1       317        64
     3.177     3.176         1       321        64
     3.188     3.187         1       323        64
     3.288     3.287         1       328        64
     3.291     3.288         1       329        64
     3.343     3.337         1       333        64
     3.382     3.381         1       338        64
     3.415     3.414         1       340        64
     3.423     3.422         1       342        64
     3.564     3.563         1       352        64
     3.579     3.578         1       355        64
     3.587     3.585         1       357        64
     3.596     3.595         1       358        64
     3.661     3.659         1       361        64
     3.673     3.672         1       362        64
     3.722     3.721         1       364        64
     3.770     3.767         1       368        64
     3.809     3.808         1       371        64
     3.818     3.817         1       372        64
     3.901     3.900         1       376        64
     3.915     3.914         1       377        64
     3.928     3.925         1       379        64
     3.937     3.936         1       383        64
     3.997     3.996         1       386        64
     4.018     4.017         1       390        64
     4.023     4.018         1       391        64
     4.093     4.092         1       398        64
     4.112     4.104         1       400        64
     4.138     4.136         1       401        64
     4.145     4.136         1       402        64
     4.153     4.152         1       404        64
     4.188     4.184         1       410        64
     4.205     4.204         1       416        64
     4.237     4.236         1       418        64
     4.294     4.293         1       424        64
     4.307     4.306         1       426        64
     4.326     4.325         1       429        64
     4.354     4.353         1       432        64
     4.357     4.356         1       433        64
     4.363     4.362         1       434        64
     4.370     4.369         1       435        64
     4.394     4.390         1       439        64
     4.402     4.401         1       440        64
     4.410     4.409         1       441        64
     4.478     4.477         1       444        64
     4.508     4.506         1       447        64
     4.547     4.545         1       450        64
     4.554     4.553         1       451        64
     4.589     4.588         1       457        64
     4.600     4.598         1       459        64
     4.629     4.628         1       461        64
     4.656     4.655         1       464        64
     4.708     4.707         1       471        64
     4.740     4.734         1       475        64
     4.743     4.737         1       476        64
     4.757     4.756         1       477        64
     4.804     4.803         1       483        64
     4.813     4.812         1       485        64
     4.853     4.852         1       488        64
     4.895     4.894         1       490        64
     4.922     4.920         1       494        64
     4.949     4.948         1       495        64
     4.952     4.951         1       496        64
     4.983     4.982         1       499        64
     4.998     4.996         1       500        64
     5.001     4.999         1       501        64
     5.016     5.015         1       504        64
     5.037     5.034         1       507        64
     5.044     5.043         1       508        64
     5.060     5.059         1       509        64
     5.071     5.070         1       510        64
     5.084     5.083         1       511        64
     5.162     5.161         1       515        64
     5.165     5.162         1       516        64
     5.173     5.172         1       518        64
     5.206     5.204         1       522        64
     5.222     5.221         1       524        64
     5.246     5.244         1       525        64
     5.252     5.251         1       526        64
     5.258     5.257         1       528        64
     5.313     5.312         1       533        64
     5.336     5.335         1       535        64
     5.382     5.381         1       538        64
     5.452     5.451         1       545        64
     5.455     5.454         1       546        64
     5.460     5.459         1       547        64
     5.471     5.470         1       549        64
     5.526     5.525         1       552        64
     5.536     5.534         1       554        64
     5.542     5.541         1       555        64
     5.583     5.579         1       559        64
     5.587     5.586         1       560        64
     5.593     5.592         1       561        64
     5.625     5.624         1       564        64
     5.717     5.716         1       566        64
     5.762     5.761         1       569        64
     5.766     5.762         1       570        64
     5.778     5.777         1       572        64
     5.861     5.860         1       580        64
     5.898     5.897         1       582        64
     5.940     5.936         1       587        64
     5.948     5.947         1       590        64
     5.951     5.950         1       591        64
     6.002     6.001         1       594        64
     6.028     6.027         1       595        64
     6.035     6.034         1       596        64
     6.042     6.038         1       598        64
     6.097     6.096         1       607        64
     6.114     6.113         1       611        64
     6.128     6.127         1       613        64
     6.188     6.187         1       618        64
     6.200     6.199         1       621        64
     6.227     6.226         1       623        64
     6.290     6.289         1       629        64
     6.336     6.335         1       631        64
     6.352     6.340         1       633        64
     6.378     6.377         1       635        64
     6.382     6.381         1       636        64
     6.394     6.393         1       638        64
     6.401     6.399         1       640        64
     6.421     6.420         1       641        64
     6.495     6.494         1       647        64
     6.511     6.507         1       650        64
     6.682     6.681         1       659        64
     6.700     6.699         1       665        64
     6.740     6.739         1       669        64
     6.771     6.770         1       671        64
     6.809     6.808         1       676        64
     6.831     6.830         1       680        64
     6.845     6.843         1       681        64
     6.866     6.865         1       683        64
     6.895     6.894         1       684        64
     6.908     6.907         1       685        64
     6.957     6.956         1       687        64
     6.959     6.958         1       688        64
     6.978     6.977         1       689        64
     6.989     6.988         1       690        64
     7.001     7.000         1       691        64
     7.076     7.075         1       698        64
     7.112     7.111         1       700        64
     7.126     7.124         1       702        64
     7.143     7.137         1       704        64
     7.149     7.148         1       705        64
     7.151     7.148         1       707        64
     7.155     7.149         1       708        64
     7.220     7.219         1       711        64
     7.286     7.285         1       715        64
     7.318     7.313         1       721        64
     7.394     7.392         1       726        64
     7.412     7.411         1       728        64
     7.418     7.413         1       729        64
     7.438     7.437         1       730        64
     7.493     7.492         1       733        64
     7.502     7.501         1       734        64
     7.532     7.531         1       736        64
     7.535     7.534         1       737        64
     7.586     7.584         1       740        64
     7.642     7.638         1       749        64
     7.649     7.643         1       750        64
     7.652     7.648         1       752        64
     7.661     7.660         1       753        64
     7.668     7.664         1       755        64
     7.701     7.700         1       758        64
     7.736     7.734         1       761        64
     7.751     7.750         1       763        64
     7.791     7.787         1       767        64
     7.805     7.804         1       771        64
     7.818     7.817         1       774        64
     7.835     7.834         1       777        64
     7.838     7.835         1       778        64
     7.880     7.877         1       782        64
     7.897     7.896         1       786        64
     7.903     7.897         1       787        64
     7.923     7.922         1       789        64
     7.931     7.930         1       790        64
     7.951     7.950         1       791        64
     7.954     7.953         1       792        64
     7.969     7.968         1       793        64
     7.978     7.977         1       794        64
     7.984     7.983         1       795        64
     8.043     8.041         1       800        64
     8.088     8.082         1       807        64
     8.111     8.110         1       810        64
     8.127     8.126         1       812        64
     8.132     8.131         1       813        64
     8.143     8.139         1       816        64
     8.188     8.187         1       819        64
     8.209     8.208         1       821        64
     8.223     8.222         1       823        64
     8.226     8.224         1       824        64
     8.258     8.257         1       826        64
     8.286     8.284         1       829        64
     8.289     8.288         1       830        64
     8.295     8.294         1       831        64
     8.301     8.300         1       832        64
     8.304     8.303         1       833        64
     8.390     8.388         1       843        64
     8.456     8.455         1       846        64
     8.483     8.482         1       848        64
     8.530     8.529         1       851        64
     8.532     8.531         1       852        64
     8.558     8.557         1       857        64
     8.579     8.578         1       860        64
     8.629     8.627         1       863        64
     8.633     8.632         1       864        64
     8.681     8.680         1       866        64
     8.708     8.707         1       869        64
     8.711     8.710         1       870        64
     8.718     8.717         1       872        64
     8.887     8.886         1       880        64
     8.906     8.905         1       882        64
     8.925     8.924         1       883        64
     8.936     8.935         1       884        64
     8.970     8.969         1       887        64
     8.979     8.977         1       888        64
     8.993     8.991         1       889        64
     8.995     8.992         1       890        64
     9.037     9.036         1       897        64
     9.057     9.055         1       898        64
     9.073     9.072         1       901        64
     9.138     9.136         1       908        64
     9.180     9.174         1       913        64
     9.183     9.182         1       914        64
     9.198     9.197         1       915        64
     9.213     9.212         1       916        64
     9.282     9.281         1       920        64
     9.369     9.356         1       929        64
     9.397     9.396         1       932        64
     9.407     9.406         1       933        64
     9.491     9.490         1       941        64
     9.501     9.500         1       942        64
     9.503     9.502         1       943        64
     9.549     9.547         1       944        64
     9.571     9.570         1       946        64
     9.593     9.592         1       950        64
     9.624     9.623         1       951        64
     9.646     9.645         1       954        64
     9.663     9.662         1       956        64
     9.685     9.684         1       958        64
     9.742     9.741         1       962        64
     9.745     9.744         1       963        64
     9.770     9.769         1       965        64
     9.782     9.779         1       967        64
     9.791     9.788         1       969        64
     9.810     9.809         1       971        64
     9.846     9.845         1       974        64
     9.848     9.845         1       975        64
     9.855     9.851         1       978        64
     9.876     9.872         1       983        64
     9.902     9.901         1       985        64
     9.916     9.912         1       988        64
     9.936     9.935         1       990        64
     9.965     9.964         1       994        64
     9.974     9.973         1       995        64
     9.982     9.974         1       997        64
    10.073    10.072         1      1005        64
    10.105    10.102         1      1010        64
    10.166    10.165         1      1016        64
    10.175    10.171         1      1018        64
    10.211    10.210         1      1020        64
    10.228    10.227         1      1022        64
    10.245    10.244         1      1026        64
    10.265    10.264         1      1028        64
    10.289    10.288         1      1029        64
    10.332    10.331         1      1031        64
    10.335    10.333         1      1032        64
    10.355    10.354         1      1035        64
    10.399    10.398         1      1037        64
    10.448    10.447         1      1043        64
    10.541    10.540         1      1046        64
    10.579    10.578         1      1047        64
    10.634    10.633         1      1050        64
    10.642    10.641         1      1052        64
    10.658    10.657         1      1054        64
    10.684    10.683         1      1059        64
    10.720    10.719         1      1062        64
    10.737    10.725         1      1064        64
    10.776    10.774         1      1070        64
    10.783    10.782         1      1071        64
    10.794    10.792         1      1072        64
    10.850    10.845         1      1079        64
    10.852    10.849         1      1080        64
    10.902    10.894         1      1085        64
    10.905    10.903         1      1086        64
    10.943    10.942         1      1091        64
    10.956    10.955         1      1093        64
    10.983    10.978         1      1095        64
    10.988    10.978         1      1096        64
    10.996    10.995         1      1097        64
    11.022    11.021         1      1099        64
    11.033    11.030         1      1101        64
    11.094    11.086         1      1109        64
    11.235    11.233         1      1120        64
    11.251    11.249         1      1123        64
    11.255    11.249         1      1124        64
    11.264    11.263         1      1126        64
    11.273    11.272         1      1127        64
    11.297    11.295         1      1130        64
    11.358    11.357         1      1134        64
    11.361    11.359         1      1135        64
    11.403    11.402         1      1140        64
    11.442    11.441         1      1141        64
    11.454    11.453         1      1142        64
    11.469    11.468         1      1144        64
    11.490    11.489         1      1145        64
    11.518    11.516         1      1148        64
    11.525    11.524         1      1149        64
    11.533    11.528         1      1151        64
    11.633    11.630         1      1163        64
    11.640    11.639         1      1165        64
    11.681    11.680         1      1169        64
    11.684    11.681         1      1170        64
    11.688    11.687         1      1172        64
    11.693    11.692         1      1173        64
    11.764    11.763         1      1177        64
    11.766    11.764         1      1178        64
    11.782    11.781         1      1179        64
    11.835    11.834         1      1183        64
    11.842    11.840         1      1184        64
    11.905    11.904         1      1192        64
    11.921    11.920         1      1193        64
    11.927    11.926         1      1194        64
    11.941    11.940         1      1195        64
    11.946    11.944         1      1197        64
    11.948    11.945         1      1198        64
    11.974    11.973         1      1201        64
    11.991    11.990         1      1202        64
    12.073    12.072         1      1210        64
    12.113    12.112         1      1213        64
    12.122    12.121         1      1214        64
    12.133    12.132         1      1215        64
    12.152    12.150         1      1219        64
    12.161    12.160         1      1221        64
    12.202    12.201         1      1228        64
    12.214    12.213         1      1229        64
    12.273    12.267         1      1232        64
    12.280    12.278         1      1235        64
    12.323    12.322         1      1239        64
    12.368    12.367         1      1241        64
    12.466    12.465         1      1247        64
    12.485    12.484         1      1249        64
    12.522    12.521         1      1253        64
    12.579    12.577         1      1256        64
    12.586    12.584         1      1259        64
    12.619    12.618         1      1262        64
    12.674    12.673         1      1265        64
    12.688    12.687         1      1267        64
    12.753    12.752         1      1275        64
    12.827    12.826         1      1282        64
    12.857    12.856         1      1285        64
    12.865    12.864         1      1286        64
    12.900    12.899         1      1288        64
    12.908    12.904         1      1290        64
    12.910    12.907         1      1291        64
    12.933    12.932         1      1294        64
    12.979    12.978         1      1296        64
    13.051    13.050         1      1299        64
    13.053    13.051         1      1300        64
    13.060    13.058         1      1301        64
    13.086    13.085         1      1303        64
    13.189    13.188         1      1312        64
    13.211    13.210         1      1314        64
    13.270    13.267         1      1320        64
    13.374    13.373         1      1327        64
    13.409    13.408         1      1330        64
    13.419    13.418         1      1332        64
    13.434    13.432         1      1333        64
    13.441    13.439         1      1334        64
    13.527    13.526         1      1339        64
    13.534    13.533         1      1340        64
    13.566    13.565         1      1344        64
    13.590    13.589         1      1348        64
    13.593    13.592         1      1349        64
    13.650    13.649         1      1351        64
    13.658    13.657         1      1353        64
    13.663    13.659         1      1354        64
    13.672    13.671         1      1355        64
    13.681    13.679         1      1357        64
    13.716    13.715         1      1359        64
    13.727    13.726         1      1361        64
    13.748    13.746         1      1362        64
    13.848    13.847         1      1365        64
    13.877    13.876         1      1367        64
    13.887    13.886         1      1369        64
    13.965    13.960         1      1374        64
    14.030    14.028         1      1381        64
    14.047    14.041         1      1385        64
    14.068    14.067         1      1388        64
    14.090    14.086         1      1392        64
    14.097    14.096         1      1395        64
    14.100    14.099         1      1396        64
    14.102    14.099         1      1397        64
    14.120    14.119         1      1400        64
    14.135    14.134         1      1402        64
    14.157    14.156         1      1404        64
    14.172    14.171         1      1405        64
    14.198    14.197         1      1407        64
    14.248    14.247         1      1409        64
    14.289    14.288         1      1411        64
    14.332    14.330         1      1415        64
    14.361    14.358         1      1419        64
    14.380    14.379         1      1420        64
    14.433    14.429         1      1425        64
    14.580    14.570         1      1436        64
    14.589    14.588         1      1438        64
    14.617    14.611         1      1440        64
    14.642    14.639         1      1443        64
    14.708    14.707         1      1449        64
    14.713    14.708         1      1450        64
    14.722    14.721         1      1451        64
    14.807    14.806         1      1457        64
    14.861    14.860         1      1463        64
    14.896    14.895         1      1466        64
    14.989    14.988         1      1474        64
    15.003    15.002         1      1476        64
    15.032    15.031         1      1478        64
    15.035    15.032         1      1479        64
    15.051    15.050         1      1481        64
    15.099    15.098         1      1488        64
    15.126    15.125         1      1493        64
    15.175    15.174         1      1496        64
    15.215    15.214         1      1502        64
    15.218    15.217         1      1503        64
    15.235    15.233         1      1505        64
    15.260    15.258         1      1507        64
    15.271    15.270         1      1508        64
    15.290    15.289         1      1509        64
    15.298    15.296         1      1510        64
    15.325    15.323         1      1514        64
    15.350    15.349         1      1516        64
    15.353    15.349         1      1517        64
    15.359    15.358         1      1518        64
    15.386    15.385         1      1521        64
    15.396    15.390         1      1523        64
    15.424    15.423         1      1526        64
    15.429    15.428         1      1527        64
    15.437    15.436         1      1528        64
    15.559    15.558         1      1536        64
    15.588    15.587         1      1539        64
    15.618    15.616         1      1544        64
    15.628    15.627         1      1545        64
    15.652    15.651         1      1547        64
    15.660    15.653         1      1548        64
    15.689    15.687         1      1552        64
    15.763    15.762         1      1557        64
    15.771    15.770         1      1558        64
    15.790    15.789         1      1561        64
    15.920    15.919         1      1569        64
    15.942    15.941         1      1571        64
    15.962    15.958         1      1575        64
    15.987    15.985         1      1577        64
    16.003    16.002         1      1578        64
    16.005    16.003         1      1579        64
    16.032    16.031         1      1584        64
    16.052    16.051         1      1588        64
    16.059    16.058         1      1589        64
    16.062    16.061         1      1590        64
    16.064    16.063         1      1591        64
    16.067    16.066         1      1592        64
    16.099    16.098         1      1595        64
    16.114    16.113         1      1597        64
    16.182    16.181         1      1605        64
    16.196    16.194         1      1608        64
    16.201    16.199         1      1610        64
    16.299    16.298         1      1615        64
    16.340    16.339         1      1617        64
    16.429    16.428         1      1624        64
    16.440    16.439         1      1626        64
    16.448    16.441         1      1627        64
    16.455    16.454         1      1628        64
    16.461    16.455         1      1629        64
    16.465    16.460         1      1630        64
    16.480    16.479         1      1633        64
    16.488    16.487         1      1634        64
    16.525    16.524         1      1637        64
    16.541    16.540         1      1638        64
    16.561    16.560         1      1640        64
