      Time timeStamp  senderId    seqNum   msgSize
     0.018     0.017         1         1        64
     0.056     0.055         1         4        64
     0.107     0.106         1         8        64
     0.119     0.116         1        11        64
     0.176     0.172         1        15        64
     0.216     0.212         1        21        64
     0.299     0.298         1        28        64
     0.305     0.304         1        30        64
     0.355     0.354         1        37        64
     0.398     0.397         1        41        64
     0.416     0.415         1        44        64
     0.424     0.422         1        46        64
     0.484     0.483         1        51        64
     0.514     0.509         1        56        64
     0.538     0.537         1        60        64
     0.635     0.634         1        66        64
     0.729     0.728         1        75        64
     0.738     0.734         1        77        64
     0.770     0.769         1        80        64
     0.785     0.783         1        83        64
     0.791     0.790         1        84        64
     0.796     0.792         1        86        64
     0.880     0.878         1        97        64
     1.115     1.114         1       118        64
     1.164     1.163         1       125        64
     1.180     1.179         1       126        64
     1.203     1.202         1       128        64
     1.219     1.218         1       129        64
     1.275     1.274         1       136        64
     1.322     1.319         1       142        64
     1.395     1.394         1       148        64
     1.502     1.501         1       155        64
     1.579     1.578         1       159        64
     1.720     1.719         1       168        64
     1.722     1.721         1       169        64
     1.764     1.762         1       171        64
     1.862     1.860         1       178        64
     1.877     1.876         1       181        64
     1.971     1.970         1       191        64
     2.002     2.001         1       194        64
     2.004     2.001         1       195        64
     2.020     2.019         1       197        64
     2.096     2.088         1       207        64
     2.172     2.171         1       216        64
     2.240     2.238         1       220        64
     2.271     2.266         1       224        64
     2.382     2.378         1       238        64
     2.470     2.469         1       249        64
     2.474     2.473         1       250        64
     2.493     2.492         1       253        64
     2.498     2.496         1       254        64
     2.521     2.520         1       255        64
     2.594     2.593         1       265        64
     2.648     2.646         1       272        64
     2.670     2.666         1       278        64
     2.723     2.722         1       281        64
     2.802     2.801         1       288        64
     2.849     2.848         1       291        64
     2.883     2.882         1       295        64
     2.921     2.920         1       299        64
     3.059     3.058         1       313        64
     3.130     3.129         1       317        64
     3.188     3.187         1       323        64
     3.288     3.287         1       328        64
     3.291     3.288         1       329        64
     3.343     3.337         1       333        64
     3.382     3.381         1       338        64
     3.415     3.414         1       340        64
     3.564     3.563         1       352        64
     3.579     3.578         1       355        64
     3.661     3.659         1       361        64
     3.809     3.808         1       371        64
     3.818     3.817         1       372        64
     3.915     3.914         1       377        64
     3.928     3.925         1       379        64
     3.937     3.936         1       383        64
     3.997     3.996         1       386        64
     4.018     4.017         1       390        64
     4.112     4.104         1       400        64
     4.138     4.136         1       401        64
     4.188     4.184         1       410        64
     4.205     4.204         1       416        64
     4.294     4.293         1       424        64
     4.326     4.325         1       429        64
     4.354     4.353         1       432        64
     4.357     4.356         1       433        64
     4.363     4.362         1       434        64
     4.370     4.369         1       435        64
     4.402     4.401         1       440        64
     4.410     4.409         1       441        64
     4.547     4.545         1       450        64
     4.554     4.553         1       451        64
     4.656     4.655         1       464        64
     4.853     4.852         1       488        64
     4.922     4.920         1       494        64
     4.952     4.951         1       496        64
     4.983     4.982         1       499        64
     5.016     5.015         1       504        64
     5.071     5.070         1       510        64
     5.084     5.083         1       511        64
     5.162     5.161         1       515        64
     5.246     5.244         1       525        64
     5.258     5.257         1       528        64
     5.455     5.454         1       546        64
     5.542     5.541         1       555        64
     5.583     5.579         1       559        64
     5.593     5.592         1       561        64
     5.766     5.762         1       570        64
     5.778     5.777         1       572        64
     5.861     5.860         1       580        64
     5.898     5.897         1       582        64
     6.002     6.001         1       594        64
     6.028     6.027         1       595        64
     6.035     6.034         1       596        64
     6.042     6.038         1       598        64
     6.097     6.096         1       607        64
     6.188     6.187         1       618        64
     6.200     6.199         1       621        64
     6.290     6.289         1       629        64
     6.336     6.335         1       631        64
     6.382     6.381         1       636        64
     6.394     6.393         1       638        64
     6.401     6.399         1       640        64
     6.421     6.420         1       641        64
     6.740     6.739         1       669        64
     6.771     6.770         1       671        64
     6.809     6.808         1       676        64
     6.831     6.830         1       680        64
     6.845     6.843         1       681        64
     6.957     6.956         1       687        64
     6.989     6.988         1       690        64
     7.076     7.075         1       698        64
     7.143     7.137         1       704        64
     7.151     7.148         1       707        64
     7.155     7.149         1       708        64
     7.220     7.219         1       711        64
     7.318     7.313         1       721        64
     7.394     7.392         1       726        64
     7.438     7.437         1       730        64
     7.493     7.492         1       733        64
     7.502     7.501         1       734        64
     7.532     7.531         1       736        64
     7.535     7.534         1       737        64
     7.642     7.638         1       749        64
     7.649     7.643         1       750        64
     7.652     7.648         1       752        64
     7.751     7.750         1       763        64
     7.791     7.787         1       767        64
     7.818     7.817         1       774        64
     7.903     7.897         1       787        64
     7.923     7.922         1       789        64
     7.931     7.930         1       790        64
     7.978     7.977         1       794        64
     8.043     8.041         1       800        64
     8.088     8.082         1       807        64
     8.111     8.110         1       810        64
     8.127     8.126         1       812        64
     8.132     8.131         1       813        64
     8.188     8.187         1       819        64
     8.209     8.208         1       821        64
     8.223     8.222         1       823        64
     8.258     8.257         1       826        64
     8.286     8.284         1       829        64
     8.295     8.294         1       831        64
     8.301     8.300         1       832        64
     8.304     8.303         1       833        64
     8.390     8.388         1       843        64
     8.456     8.455         1       846        64
     8.532     8.531         1       852        64
     8.579     8.578         1       860        64
     8.681     8.680         1       866        64
     8.711     8.710         1       870        64
     8.718     8.717         1       872        64
     8.906     8.905         1       882        64
     8.979     8.977         1       888        64
     8.993     8.991         1       889        64
     9.057     9.055         1       898        64
     9.073     9.072         1       901        64
     9.282     9.281         1       920        64
     9.369     9.356         1       929        64
     9.501     9.500         1       942        64
     9.503     9.502         1       943        64
     9.549     9.547         1       944        64
     9.571     9.570         1       946        64
     9.624     9.623         1       951        64
     9.646     9.645         1       954        64
     9.745     9.744         1       963        64
     9.770     9.769         1       965        64
     9.848     9.845         1       975        64
     9.855     9.851         1       978        64
     9.902     9.901         1       985        64
     9.936     9.935         1       990        64
     9.965     9.964         1       994        64
     9.974     9.973         1       995        64
     9.982     9.974         1       997        64
    10.073    10.072         1      1005        64
    10.166    10.165         1      1016        64
    10.245    10.244         1      1026        64
    10.265    10.264         1      1028        64
    10.332    10.331         1      1031        64
    10.335    10.333         1      1032        64
    10.399    10.398         1      1037        64
    10.579    10.578         1      1047        64
    10.658    10.657         1      1054        64
    10.684    10.683         1      1059        64
    10.720    10.719         1      1062        64
    10.776    10.774         1      1070        64
    10.783    10.782         1      1071        64
    10.852    10.849         1      1080        64
    10.902    10.894         1      1085        64
    10.905    10.903         1      1086        64
    11.094    11.086         1      1109        64
    11.251    11.249         1      1123        64
    11.255    11.249         1      1124        64
    11.273    11.272         1      1127        64
    11.297    11.295         1      1130        64
    11.454    11.453         1      1142        64
    11.490    11.489         1      1145        64
    11.518    11.516         1      1148        64
    11.640    11.639         1      1165        64
    11.835    11.834         1      1183        64
    11.842    11.840         1      1184        64
    11.948    11.945         1      1198        64
    11.974    11.973         1      1201        64
    11.991    11.990         1      1202        64
    12.073    12.072         1      1210        64
    12.113    12.112         1      1213        64
    12.133    12.132         1      1215        64
    12.161    12.160         1      1221        64
    12.273    12.267         1      1232        64
    12.368    12.367         1      1241        64
    12.466    12.465         1      1247        64
    12.485    12.484         1      1249        64
    12.522    12.521         1      1253        64
    12.579    12.577         1      1256        64
    12.619    12.618         1      1262        64
    12.753    12.752         1      1275        64
    12.827    12.826         1      1282        64
    12.857    12.856         1      1285        64
    12.865    12.864         1      1286        64
    12.900    12.899         1      1288        64
    13.051    13.050         1      1299        64
    13.053    13.051         1      1300        64
    13.060    13.058         1      1301        64
    13.086    13.085         1      1303        64
    13.189    13.188         1      1312        64
    13.211    13.210         1      1314        64
    13.270    13.267         1      1320        64
    13.419    13.418         1      1332        64
    13.434    13.432         1      1333        64
    13.441    13.439         1      1334        64
    13.566    13.565         1      1344        64
    13.590    13.589         1      1348        64
    13.658    13.657         1      1353        64
    13.672    13.671         1      1355        64
    13.748    13.746         1      1362        64
    13.877    13.876         1      1367        64
    13.887    13.886         1      1369        64
