      Time timeStamp  senderId    seqNum   msgSize
     0.299     0.298         1        28        64
     0.305     0.304         1        30        64
     0.785     0.783         1        83        64
     2.240     2.238         1       220        64
     2.382     2.378         1       238        64
     2.521     2.520         1       255        64
     2.648     2.646         1       272        64
     5.258     5.257         1       528        64
     6.035     6.034         1       596        64
     6.290     6.289         1       629        64
     7.394     7.392         1       726        64
     7.493     7.492         1       733        64
     7.652     7.648         1       752        64
     8.132     8.131         1       813        64
     8.188     8.187         1       819        64
     9.282     9.281         1       920        64
     9.369     9.356         1       929        64
    10.776    10.774         1      1070        64
    13.590    13.589         1      1348        64
    15.559    15.558         1      1536        64
    15.962    15.958         1      1575        64
    16.064    16.063         1      1591        64
    16.067    16.066         1      1592        64
    16.589    16.588         1      1644        64
    17.852    17.850         1      1764        64
    17.953    17.952         1      1775        64
    18.550    18.548         1      1842        64
    19.338    19.337         1      1922        64
    19.993    19.991         1      2006        64
    21.282    21.281         1      2158        64
    21.468    21.464         1      2173        64
    21.591    21.590         1      2187        64
    22.469    22.467         1      2289        64
    24.402    24.400         1      2491        64
    26.466    26.465         1      2701        64
    26.581    26.573         1      2719        64
    28.777    28.776         1      2935        64
    29.560    29.559         1      3010        64
    30.084    30.083         1      3065        64
    32.506    32.503         1      3305        64
    32.572    32.571         1      3310        64
    35.214    35.213         1      3574        64
    36.381    36.380         1      3707        64
    36.574    36.573         1      3727        64
    37.111    37.110         1      3783        64
    37.454    37.453         1      3828        64
    38.061    38.060         1      3911        64
    38.348    38.347         1      3944        64
    38.589    38.588         1      3971        64
    38.674    38.673         1      3975        64
    39.293    39.291         1      4049        64
    40.438    40.436         1      4151        64
    41.720    41.719         1      4267        64
    41.857    41.856         1      4283        64
    43.703    43.702         1      4482        64
    44.510    44.509         1      4559        64
    44.704    44.700         1      4585        64
    48.471    48.467         1      4980        64
    48.954    48.950         1      5026        64
    49.162    49.161         1      5059        64
    54.325    54.319         1      5569        64
    54.898    54.897         1      5627        64
    56.476    56.475         1      5770        64
    56.518    56.517         1      5779        64
    58.795    58.793         1      6005        64
    58.810    58.809         1      6008        64
    61.507    61.506         1      6268        64
    61.928    61.927         1      6305        64
    62.525    62.520         1      6362        64
    62.970    62.969         1      6403        64
    63.195    63.194         1      6428        64
    63.352    63.351         1      6442        64
    63.636    63.634         1      6472        64
    66.012    66.006         1      6692        64
    66.508    66.507         1      6748        64
    67.088    67.087         1      6802        64
    69.231    69.230         1      7001        64
    70.718    70.717         1      7150        64
    72.249    72.248         1      7302        64
    72.955    72.954         1      7378        64
    73.059    73.058         1      7391        64
    75.065    75.064         1      7606        64
    76.948    76.947         1      7817        64
    77.040    77.039         1      7826        64
    77.066    77.065         1      7828        64
    77.521    77.517         1      7878        64
    78.028    78.025         1      7933        64
    78.228    78.227         1      7954        64
    79.175    79.172         1      8048        64
    80.255    80.254         1      8152        64
    80.826    80.824         1      8210        64
    84.487    84.486         1      8583        64
    84.695    84.694         1      8598        64
    85.748    85.747         1      8707        64
    86.103    86.102         1      8737        64
    86.422    86.421         1      8769        64
    86.809    86.808         1      8810        64
    87.363    87.361         1      8871        64
    87.945    87.944         1      8920        64
    88.602    88.599         1      8989        64
    88.769    88.767         1      9008        64
    88.887    88.885         1      9017        64
    90.450    90.449         1      9197        64
    91.790    91.789         1      9326        64
    92.055    92.054         1      9354        64
    92.221    92.217         1      9368        64
    92.308    92.307         1      9376        64
    92.350    92.348         1      9379        64
    92.578    92.577         1      9404        64
    93.522    93.521         1      9508        64
    94.042    94.041         1      9554        64
    94.665    94.664         1      9612        64
    95.212    95.211         1      9689        64
    96.519    96.518         1      9804        64
    98.138    98.137         1      9954        64
    98.587    98.586         1      9996        64
    99.883    99.882         1     10127        64
    99.951    99.950         1     10135        64
   100.848   100.847         1     10252        64
   101.023   101.022         1     10271        64
   101.656   101.655         1     10334        64
   101.890   101.889         1     10356        64
   102.098   102.096         1     10381        64
   102.114   102.111         1     10384        64
   102.971   102.970         1     10473        64
   103.260   103.256         1     10500        64
   104.123   104.122         1     10586        64
   104.624   104.623         1     10636        64
   105.595   105.591         1     10725        64
   106.810   106.809         1     10844        64
   107.449   107.448         1     10916        64
   108.765   108.764         1     11032        64
   110.265   110.263         1     11181        64
   110.464   110.462         1     11203        64
   110.997   110.996         1     11253        64
   111.004   111.001         1     11255        64
   111.237   111.236         1     11278        64
   112.937   112.929         1     11440        64
   114.274   114.273         1     11575        64
   114.418   114.417         1     11594        64
   116.353   116.351         1     11795        64
   116.649   116.647         1     11824        64
   117.083   117.082         1     11872        64
   117.455   117.454         1     11898        64
   117.459   117.455         1     11899        64
   118.183   118.174         1     11976        64
   118.366   118.365         1     11993        64
   119.550   119.549         1     12094        64
   120.662   120.660         1     12180        64
   122.776   122.775         1     12377        64
   123.030   123.029         1     12408        64
   124.266   124.255         1     12544        64
   125.139   125.135         1     12626        64
   125.183   125.182         1     12633        64
   126.934   126.932         1     12800        64
   127.383   127.382         1     12846        64
   128.328   128.326         1     12943        64
   129.377   129.376         1     13054        64
   129.390   129.389         1     13055        64
   130.720   130.711         1     13199        64
   130.907   130.906         1     13217        64
   131.030   131.029         1     13229        64
   131.147   131.146         1     13236        64
   132.583   132.581         1     13396        64
   132.667   132.666         1     13406        64
   135.156   135.153         1     13658        64
   135.442   135.441         1     13686        64
   135.933   135.932         1     13733        64
   136.345   136.343         1     13782        64
   136.396   136.393         1     13788        64
   136.413   136.412         1     13790        64
   139.274   139.268         1     14074        64
   139.499   139.498         1     14094        64
   140.883   140.882         1     14210        64
   141.971   141.969         1     14303        64
   142.115   142.114         1     14319        64
   142.659   142.656         1     14367        64
   143.696   143.695         1     14474        64
   144.228   144.227         1     14535        64
   146.747   146.746         1     14804        64
   146.805   146.804         1     14814        64
   148.964   148.963         1     15043        64
   150.955   150.952         1     15230        64
   151.052   151.049         1     15241        64
   151.169   151.164         1     15257        64
   152.093   152.089         1     15352        64
   152.923   152.922         1     15423        64
   153.996   153.995         1     15519        64
   156.373   156.370         1     15764        64
   156.795   156.791         1     15812        64
   159.186   159.185         1     16032        64
   159.262   159.256         1     16038        64
   159.526   159.524         1     16059        64
   160.642   160.641         1     16178        64
   160.684   160.679         1     16184        64
   160.981   160.977         1     16215        64
   161.040   161.039         1     16221        64
   161.706   161.705         1     16285        64
   162.572   162.571         1     16370        64
   162.845   162.844         1     16392        64
   162.976   162.975         1     16403        64
   165.049   165.048         1     16617        64
   166.477   166.476         1     16741        64
   166.617   166.616         1     16754        64
   171.284   171.283         1     17174        64
   172.787   172.786         1     17326        64
   175.648   175.647         1     17618        64
   175.747   175.746         1     17637        64
   176.070   176.069         1     17665        64
   177.133   177.132         1     17783        64
   177.753   177.751         1     17845        64
   178.587   178.586         1     17922        64
   178.975   178.974         1     17961        64
   179.001   179.000         1     17966        64
   179.157   179.156         1     17979        64
   179.489   179.488         1     18008        64
   179.499   179.498         1     18009        64
   179.701   179.700         1     18040        64
   180.256   180.255         1     18088        64
   180.401   180.399         1     18100        64
   180.562   180.561         1     18114        64
   180.856   180.854         1     18149        64
   181.536   181.532         1     18217        64
   182.671   182.670         1     18342        64
   184.079   184.078         1     18475        64
   185.802   185.800         1     18632        64
   185.881   185.880         1     18645        64
   185.969   185.966         1     18661        64
   188.494   188.489         1     18923        64
   189.858   189.852         1     19073        64
   190.492   190.491         1     19128        64
   191.273   191.272         1     19216        64
   191.410   191.409         1     19229        64
   191.577   191.576         1     19239        64
   192.765   192.758         1     19378        64
   193.796   193.795         1     19476        64
   196.608   196.606         1     19782        64
   197.652   197.649         1     19890        64
   198.234   198.233         1     19952        64
   201.257   201.256         1     20279        64
   202.071   202.070         1     20370        64
   202.118   202.117         1     20376        64
   203.835   203.832         1     20549        64
   204.244   204.243         1     20580        64
   205.113   205.112         1     20689        64
   206.587   206.586         1     20838        64
   207.808   207.807         1     20940        64
   208.790   208.788         1     21043        64
   208.842   208.840         1     21046        64
   208.932   208.931         1     21055        64
   209.196   209.195         1     21074        64
   209.293   209.292         1     21084        64
   210.229   210.228         1     21188        64
   212.344   212.338         1     21391        64
   213.297   213.295         1     21490        64
   213.519   213.518         1     21516        64
   213.769   213.768         1     21538        64
   213.772   213.771         1     21539        64
   213.848   213.847         1     21551        64
   214.409   214.402         1     21601        64
   214.950   214.945         1     21661        64
   215.592   215.591         1     21721        64
   215.848   215.847         1     21743        64
   215.939   215.938         1     21755        64
   216.395   216.394         1     21802        64
   216.573   216.568         1     21826        64
   216.734   216.733         1     21851        64
   217.970   217.969         1     21976        64
   218.269   218.267         1     22005        64
   218.487   218.486         1     22031        64
   218.868   218.867         1     22066        64
   218.879   218.878         1     22068        64
   219.271   219.270         1     22111        64
   220.150   220.149         1     22183        64
   220.479   220.478         1     22213        64
   221.006   221.005         1     22278        64
   222.086   222.085         1     22380        64
   222.451   222.444         1     22419        64
   223.187   223.184         1     22494        64
   223.523   223.520         1     22519        64
   223.840   223.839         1     22546        64
   224.072   224.071         1     22571        64
   226.014   226.013         1     22765        64
   227.988   227.987         1     22943        64
   229.064   229.063         1     23071        64
   229.085   229.082         1     23076        64
   230.193   230.192         1     23180        64
   230.423   230.419         1     23206        64
   230.562   230.561         1     23219        64
   232.522   232.521         1     23408        64
   233.319   233.318         1     23491        64
   233.367   233.365         1     23495        64
   233.980   233.979         1     23556        64
   234.715   234.714         1     23629        64
   234.772   234.771         1     23638        64
   236.087   236.085         1     23779        64
   236.459   236.458         1     23820        64
   237.236   237.235         1     23896        64
   237.562   237.561         1     23937        64
   238.234   238.230         1     23995        64
   238.316   238.315         1     24007        64
   238.647   238.646         1     24041        64
   239.027   239.020         1     24080        64
   240.361   240.360         1     24206        64
   240.632   240.630         1     24241        64
   241.394   241.393         1     24320        64
   243.202   243.201         1     24505        64
   245.358   245.357         1     24720        64
   245.663   245.662         1     24760        64
   245.684   245.677         1     24762        64
   245.810   245.809         1     24774        64
   247.775   247.773         1     24975        64
   249.813   249.810         1     25169        64
   253.674   253.670         1     25530        64
   253.859   253.856         1     25549        64
   255.338   255.337         1     25695        64
   258.237   258.233         1     25982        64
   258.665   258.662         1     26021        64
   259.497   259.496         1     26108        64
   259.738   259.736         1     26141        64
   260.854   260.853         1     26255        64
   262.005   262.004         1     26387        64
   262.505   262.504         1     26433        64
   263.671   263.670         1     26551        64
   263.725   263.724         1     26557        64
   264.884   264.879         1     26674        64
   265.296   265.290         1     26731        64
   265.724   265.723         1     26780        64
   268.712   268.710         1     27077        64
   268.791   268.790         1     27084        64
   270.244   270.243         1     27207        64
   270.848   270.847         1     27267        64
   270.894   270.891         1     27272        64
   272.140   272.139         1     27398        64
   272.186   272.185         1     27403        64
   272.695   272.694         1     27441        64
   273.785   273.781         1     27554        64
   275.449   275.448         1     27692        64
   275.762   275.760         1     27717        64
   279.411   279.410         1     28056        64
   280.739   280.736         1     28202        64
   281.821   281.819         1     28320        64
   282.072   282.071         1     28345        64
   283.733   283.732         1     28507        64
   284.268   284.263         1     28555        64
   285.619   285.618         1     28669        64
   286.574   286.572         1     28755        64
   288.399   288.398         1     28928        64
   288.489   288.488         1     28936        64
   289.296   289.292         1     29011        64
   290.068   290.067         1     29097        64
   291.251   291.250         1     29216        64
   291.511   291.510         1     29236        64
   291.687   291.686         1     29249        64
   292.205   292.204         1     29298        64
   293.319   293.318         1     29415        64
   293.482   293.481         1     29429        64
   293.515   293.514         1     29432        64
   294.043   294.039         1     29483        64
   294.771   294.770         1     29548        64
   294.859   294.858         1     29557        64
   296.444   296.443         1     29726        64
   296.884   296.883         1     29771        64
   298.321   298.320         1     29928        64
   298.355   298.349         1     29932        64
   298.759   298.758         1     29978        64
   299.895   299.894         1     30101        64
   300.369   300.368         1     30149        64
   301.352   301.351         1     30250        64
   301.366   301.365         1     30251        64
   302.223   302.221         1     30340        64
   306.565   306.564         1     30745        64
   309.223   309.219         1     31057        64
   309.301   309.298         1     31067        64
   309.582   309.579         1     31106        64
   309.590   309.589         1     31107        64
   310.594   310.591         1     31217        64
   311.984   311.983         1     31360        64
   312.176   312.172         1     31382        64
   313.061   313.060         1     31475        64
   313.349   313.347         1     31502        64
   313.684   313.683         1     31540        64
   314.024   314.023         1     31573        64
   314.855   314.854         1     31650        64
   314.870   314.869         1     31654        64
   316.785   316.784         1     31864        64
   320.113   320.111         1     32165        64
   320.386   320.385         1     32196        64
   320.428   320.427         1     32200        64
   321.065   321.055         1     32271        64
   321.600   321.599         1     32326        64
   321.998   321.997         1     32366        64
   323.296   323.295         1     32494        64
   323.914   323.908         1     32558        64
   325.094   325.093         1     32678        64
   326.647   326.637         1     32851        64
   329.082   329.081         1     33101        64
   330.981   330.977         1     33289        64
   331.526   331.524         1     33345        64
   334.182   334.181         1     33621        64
   335.432   335.427         1     33757        64
   335.467   335.466         1     33761        64
   335.560   335.559         1     33770        64
   335.656   335.655         1     33777        64
   336.590   336.589         1     33878        64
   338.386   338.385         1     34065        64
   339.213   339.212         1     34134        64
   341.169   341.168         1     34316        64
   342.165   342.164         1     34433        64
   343.011   343.010         1     34521        64
   343.649   343.648         1     34570        64
   343.683   343.682         1     34575        64
   345.145   345.144         1     34734        64
   346.953   346.950         1     34900        64
   346.982   346.981         1     34906        64
   347.344   347.343         1     34939        64
   347.352   347.350         1     34941        64
   348.861   348.857         1     35073        64
   352.726   352.724         1     35467        64
   352.827   352.826         1     35475        64
   353.173   353.172         1     35510        64
   353.772   353.770         1     35574        64
   353.898   353.897         1     35588        64
   354.298   354.296         1     35632        64
   356.692   356.691         1     35855        64
   357.168   357.167         1     35886        64
   358.192   358.188         1     35981        64
   359.870   359.869         1     36138        64
   360.086   360.085         1     36158        64
   360.106   360.105         1     36160        64
   361.111   361.107         1     36269        64
   363.499   363.498         1     36494        64
   363.627   363.626         1     36506        64
   364.033   364.032         1     36553        64
   364.541   364.540         1     36612        64
   364.714   364.710         1     36636        64
   367.005   367.004         1     36859        64
   367.157   367.156         1     36883        64
   367.252   367.251         1     36896        64
   367.655   367.654         1     36941        64
   367.808   367.807         1     36956        64
   367.887   367.886         1     36965        64
   368.620   368.619         1     37052        64
   368.870   368.862         1     37079        64
   369.127   369.122         1     37106        64
   369.366   369.365         1     37134        64
   373.302   373.299         1     37539        64
   374.648   374.647         1     37677        64
   376.257   376.256         1     37822        64
   376.284   376.283         1     37827        64
   377.443   377.437         1     37925        64
   377.615   377.611         1     37946        64
